Model: GOKU - pendulum created with 505764 parameters.
[Epoch 1/1600]  loss = 144.8342
[Epoch 2/1600]  loss = 52.6024
[Epoch 3/1600]  loss = 41.4486
[Epoch 4/1600]  loss = 39.3647
[Epoch 5/1600]  loss = 37.8503
[Epoch 6/1600]  loss = 36.9879
[Epoch 7/1600]  loss = 36.2740
[Epoch 8/1600]  loss = 35.8774
[Epoch 9/1600]  loss = 35.4092
[Epoch 10/1600]  loss = 35.2367
[Epoch 11/1600]  loss = 34.8493
[Epoch 12/1600]  loss = 34.5422
[Epoch 13/1600]  loss = 33.9199
[Epoch 14/1600]  loss = 32.5098
[Epoch 15/1600]  loss = 31.9475
[Epoch 16/1600]  loss = 30.6193
[Epoch 17/1600]  loss = 30.4609
[Epoch 18/1600]  loss = 28.8348
[Epoch 19/1600]  loss = 27.5352
[Epoch 20/1600]  loss = 26.3520
[Epoch 21/1600]  loss = 24.8802
[Epoch 22/1600]  loss = 23.1508
[Epoch 23/1600]  loss = 21.8180
[Epoch 24/1600]  loss = 20.2265
[Epoch 25/1600]  loss = 18.5617
[Epoch 26/1600]  loss = 18.6873
[Epoch 27/1600]  loss = 17.6050
[Epoch 28/1600]  loss = 16.8123
[Epoch 29/1600]  loss = 16.9457
[Epoch 30/1600]  loss = 16.0485
[Epoch 31/1600]  loss = 15.4059
[Epoch 32/1600]  loss = 14.3024
[Epoch 33/1600]  loss = 14.0291
[Epoch 34/1600]  loss = 13.9629
[Epoch 35/1600]  loss = 13.3764
[Epoch 36/1600]  loss = 14.8369
[Epoch 37/1600]  loss = 13.3362
[Epoch 38/1600]  loss = 13.1537
[Epoch 39/1600]  loss = 12.2857
[Epoch 40/1600]  loss = 11.8987
[Epoch 41/1600]  loss = 12.3499
[Epoch 42/1600]  loss = 11.8851
[Epoch 43/1600]  loss = 12.7206
[Epoch 44/1600]  loss = 11.6425
[Epoch 45/1600]  loss = 11.3674
[Epoch 46/1600]  loss = 10.4408
[Epoch 47/1600]  loss = 9.9692
[Epoch 48/1600]  loss = 9.8471
[Epoch 49/1600]  loss = 9.9617
[Epoch 50/1600]  loss = 10.1634
[Epoch 51/1600]  loss = 10.2034
[Epoch 52/1600]  loss = 10.9281
[Epoch 53/1600]  loss = 12.3704
[Epoch 54/1600]  loss = 12.0202
[Epoch 55/1600]  loss = 11.4686
[Epoch 56/1600]  loss = 11.6751
[Epoch 57/1600]  loss = 10.9468
[Epoch 58/1600]  loss = 11.0173
[Epoch 59/1600]  loss = 10.1715
[Epoch 60/1600]  loss = 9.8568
[Epoch 61/1600]  loss = 9.2379
[Epoch 62/1600]  loss = 9.2382
[Epoch 63/1600]  loss = 8.9973
[Epoch 64/1600]  loss = 8.2095
[Epoch 65/1600]  loss = 8.6504
[Epoch 66/1600]  loss = 7.9459
[Epoch 67/1600]  loss = 7.6548
[Epoch 68/1600]  loss = 7.4065
[Epoch 69/1600]  loss = 7.2789
[Epoch 70/1600]  loss = 6.7515
[Epoch 71/1600]  loss = 6.6237
[Epoch 72/1600]  loss = 6.2346
[Epoch 73/1600]  loss = 5.7148
[Epoch 74/1600]  loss = 6.0977
[Epoch 75/1600]  loss = 6.3498
[Epoch 76/1600]  loss = 7.6939
[Epoch 77/1600]  loss = 7.9466
[Epoch 78/1600]  loss = 6.7182
[Epoch 79/1600]  loss = 5.9582
[Epoch 80/1600]  loss = 5.3672
[Epoch 81/1600]  loss = 5.8542
[Epoch 82/1600]  loss = 5.4792
[Epoch 83/1600]  loss = 5.9642
[Epoch 84/1600]  loss = 6.1489
[Epoch 85/1600]  loss = 5.8749
[Epoch 86/1600]  loss = 5.4841
[Epoch 87/1600]  loss = 5.4433
[Epoch 88/1600]  loss = 5.6684
[Epoch 89/1600]  loss = 4.9767
[Epoch 90/1600]  loss = 4.9082
[Epoch 91/1600]  loss = 4.9735
[Epoch 92/1600]  loss = 4.7896
[Epoch 93/1600]  loss = 5.8790
[Epoch 94/1600]  loss = 5.3791
[Epoch 95/1600]  loss = 4.7420
[Epoch 96/1600]  loss = 4.3542
[Epoch 97/1600]  loss = 4.6745
[Epoch 98/1600]  loss = 4.6449
[Epoch 99/1600]  loss = 4.6377
[Epoch 100/1600]  loss = 4.2473
[Epoch 101/1600]  loss = 4.1006
[Epoch 102/1600]  loss = 4.6816
[Epoch 103/1600]  loss = 4.9629
[Epoch 104/1600]  loss = 4.6420
[Epoch 105/1600]  loss = 4.1058
[Epoch 106/1600]  loss = 4.6526
[Epoch 107/1600]  loss = 3.8034
[Epoch 108/1600]  loss = 3.9688
[Epoch 109/1600]  loss = 3.7112
[Epoch 110/1600]  loss = 4.5504
[Epoch 111/1600]  loss = 3.9905
[Epoch 112/1600]  loss = 3.8442
[Epoch 113/1600]  loss = 4.0692
[Epoch 114/1600]  loss = 3.8142
[Epoch 115/1600]  loss = 3.7838
[Epoch 116/1600]  loss = 4.1090
[Epoch 117/1600]  loss = 4.1216
[Epoch 118/1600]  loss = 4.4470
[Epoch 119/1600]  loss = 3.8861
[Epoch 120/1600]  loss = 3.6316
[Epoch 121/1600]  loss = 3.8962
[Epoch 122/1600]  loss = 3.6912
[Epoch 123/1600]  loss = 3.3822
[Epoch 124/1600]  loss = 4.0470
[Epoch 125/1600]  loss = 4.2532
[Epoch 126/1600]  loss = 4.1160
[Epoch 127/1600]  loss = 3.6394
[Epoch 128/1600]  loss = 3.8853
[Epoch 129/1600]  loss = 3.2319
[Epoch 130/1600]  loss = 3.0265
[Epoch 131/1600]  loss = 3.0044
[Epoch 132/1600]  loss = 2.7874
[Epoch 133/1600]  loss = 2.9268
[Epoch 134/1600]  loss = 3.0908
[Epoch 135/1600]  loss = 2.9143
